category,name,desc,mitigation,reference
STC,section merging,"Merge all sections; just one entry in the sections table.  Only affects readability slightly, so may not even be worth mitigating.  May affect some detection signatures if written to be section dependent.",Manually modify with a PE editor.  Sections boundaries typically easy to identify by matching alignment (NT headers -> Optional header -> Section Alignment) and looking for large groupings of NULL bytes preceding each original section.,Albertini2010
STC,imports compression,"Imports are stored and loaded with a more compact import table format.  Each DLL needed by the executable is mentioned in the IAT, but only one function from each/most is imported; the rest are imported ""manually"" via GetProcAddress calls.","Debug, dump (if necessary), and fix/reconstruct IAT.",Albertini2010
STC,imports by hash,"DLL loaded and then each export name is parsed until it matches a specific hash, instead of a GetProcAddress call. Also often seen used by shellcode, as it reduces the size of each import from a human-readable string to a sequence of four bytes.","Debug, dump (if necessary), and fix/reconstruct IAT.",Albertini2010
STC,call optimisation,Turn relative operands of jumps and calls into absolute (better compression).  May confuse some basic block detection algorithms.,,Albertini2010
,,,,
STC,resource(s) compression,"Compresses resources, avoiding critical ones (main icon, manifest, etc.)",Debug and dump,Albertini2010
DBG,token check,"Presence check to allow the program to run (ex: dongle, CD/DVD, key, file, network, etc.)",Ensure item is present or patch (file or in-memory) the check to always succeed.,Albertini2010
DBG,fingerprinting,"Token is specific to a hardware element (ex: disk, OS, CPU, NIC MAC, etc.)",Ensure item is present or patch (file or in-memory) the check to always succeed.,Albertini2010
,demo mode,Inclusion of a demo binary/mode that is executed when token is absent or not enough privileged.,,Albertini2010
DBG,"Integrity check, data","Check the contents of data sections are unmodified with checksum or hash.  Depending on implementation, may detect file, in-memory, or both.  Typically this does not affect analysis.",Identify integrity check location and modify to always pass.,Albertini2010
DBG,"Integrity check, code","Check that the unpacking code is unmodified.  Variation exists where unpacking code is part of the “key” used to unpack, therefore any Software Breakpoints during debugging causes unpacking to completely fail or result in malformed unpacked code.","Use software breakpoints sparingly.
Identify integrity check location and modify to always pass.",Albertini2010
STC,overlap,Jumping after the first byte of an instruction.  Confuses some disassemblers.,"Debug.
Use different disassembly engine or different options for your disassembly engine.",Albertini2010
DBG,illusion,Makes the analyst think something incorrect happened.  This is a general category of anti-analysis and may refer to any number of techniques.,,Albertini2010
STC,junk,Insertion of dummy code between relevant opcodes.  Can make signature writing more complex.,,Albertini2010
STC,jumps,Insertion of jumps to make analysis visually harder.,,Albertini2010
STC,thunks,Variation on “jump”; also used by some compilers for user-generated functions (ex: Visual Studio /INCREMENTAL),,Albertini2010
,,,,
STC,polymorphism,"Different but equivalent code (2 packed files of the same source are different).  Mainly affects detection and similarity metrics, which makes for more manual analysis.","Use capability detections (ex: MAEC; CylanceV) and/or function-level fuzzy matching (ex: PIC Hash).
Use disassembler (or plugins) that allow saving function-level information and sharing/importing (ex: IDA MyNav; BinNavi)",Albertini2010
DBG,self generation,Packer stub generates polymorphic code on the fly (same file executes differently).  This is a general category of anti-analysis and may refer to any number of techniques.,,Albertini2010
"STC, DBG",packer virtualization,Virtualizes [part of] packer stub code.  This is a general category of anti-analysis and may refer to any number of techniques.,,Albertini2010
"STC, DBG",virtualization,Virtualizes original code; dumped code won’t work without VM code.  This is a general category of anti-analysis and may refer to any number of techniques.,,Albertini2010
STC,stack strings,"Strings are built and decrypted on the stack at each use, then discarded (to avoid obvious references)",Signature and script extraction and labeling.,Albertini2010
STC,faking,Add fake code similar to known packers to fool identification.  Can confuse some automated unpackers.,,Albertini2010
STC,blending in,Add fake code similar to known goods to evade detection.,,Albertini2010
DBG,thread,Use several parallel threads to make analysis harder.,,Albertini2010
DBG,"timing, check delay","Comparing time between two points to detect “unusual” execution, such as the (relative) massive delays introduced by debugging","1. Use a plugin.
2. Patch the comparison.","Albertini2010, Grunzweig2015"
"DBG, SBX","timing, at least",Comparing single GetTickCount with some value to see if system has been started at least X amount ago.,"1. snapshot analysis vm after letting it run for a while (hours) first
2. use tool/debugger that allows GetTickCount to always return a specific large number",Griffin2015
,,,,
"DBG, SBX","timing, date check",Calling GetSystemTime or equiv and only executing code if the current date/hour/minute/second passes some check. Often this is for running only after or only until a specific date.,Look for API calls and modify inputs or comparison.,
DBG,"anti-debug, detect",Detect the presence of an attached debugger (ex: IsDebuggerPresent),Use a plugin that takes care of this for you.,Albertini2010
DBG,"anti-debug, prevent",Prevent a debugger to attach to the target itself or stay attached.  This is a general category of anti-analysis and may refer to any number of techniques.,,Albertini2010
DBG,"anti-debug, nuisance","Make debugger session difficult (BlockInput, slow down, etc.).  This is a general category of anti-analysis and may refer to any number of techniques.",,Albertini2010
,,,,
"DBG, SBX","anti-debug, thread","Spawn a monitoring thread to detect tampering, breakpoints, etc.",Disable the thread.,Albertini2010
"DBG, SBX",debug artifacts,"Detects a debugger by its artifact (window title, device driver, exports, etc.)",Identify detection routine(s) and patch out or hardware breakpoint and modify register or stack values.,Albertini2010
"STC, EMU",limitation,Prevent the use of a tool via a specific limitation.  This is a general category of anti-analysis and may refer to any number of techniques.,,Albertini2010
,exploit,Prevent the use of a tool via a specific vulnerability.  This is a general category of anti-analysis and may refer to any number of techniques.,,Albertini2010
,backdoor,Detect or crash a tool via a specific backdoor.  This is a general category of anti-analysis and may refer to any number of techniques.,,Albertini2010
DBG,self-debugging,Debug itself to prevent another debugger to be attached.,Force attach debugger.  Not all debuggers support this option; see OllyMigrate in this case.,Albertini2010
DBG,interrupt hooking,Block interrupt 1 and/or 3 to prevent debuggers from working.,,Albertini2010
DBG,interrupt-based,"The unpacking code relies on use of int 1 or int 3, or it uses the interrupt vector table as part of the decryption “key” (Szor, p227)",,Szor2005
"DBG, DMP",tampering,"Erase or corrupt specific file parts to prevent rebuilding (header, packer stub, etc.)",Identify which parts are corrupted; restart debug; breakpoint on modification of those blocks of memory and prevent modification.,Albertini2010
,"anti-dump, imports","Add obfuscation between imports calls and APIs (obfuscation, virtualization, stealing, etc.)",,Albertini2010
"STC, DMP",on-the-fly APIs,API address is resolved before each use to prevent complete dumping,,Albertini2010
,API hooking,Alter API behavior (ex: redirect benign API to a critical one); sometimes used for anti-dump,,Albertini2010
"STC, DBG",static linking,Copy locally the whole content of API code,"once one function is identified, use the fact that all functions for a statically linked library are in a contiguous memory region.",
"STC, DBG",inlining,variation of static linking where full API code inserted everywhere it would have been CALLed,,Albertini2010
,relocate,relocate API code in separate buffer (calls don’t lead to imported DLLs),,Albertini2010
"STC, DBG, DMP",byte stealing,Move the first bytes of the original code elsewhere (harder rebuilding and bypasses breakpoints),Breakpoint a few instructions into functions.,Albertini2010
"STC, DMP",page guard,"Blocks of code are encrypted individually, and decrypted temporarily only upon execution",,Albertini2010
STC,flow,flow opcodes are removed and emulated (or decrypted) by the packer during execution,,Albertini2010
,,,,
,,,,
EMU,opcodes,"using different opcodes sets (ex: FPU, MMX, SSE) to block emulators",,Albertini2010
EMU,undoc,use of rare or undocumented opcodes to block non-exhaustive emulators,,Albertini2010
EMU,"anti-emulation, API",unusual APIs are called to block non-exhaustive emulators (particularly anti-virus),,Albertini2010
EMU,loop,extra loops are added to make time-constraint emulators give up,,Albertini2010
,dropper,"Original file is written to disk then executed.  May confuse some sandboxes, especially if the dropped executable must be provided specific arguments and the original dropper is not associated with the drop file(s).","1. Use a sandbox that captures full command line executions.
2. Identify intended arguments from static or debugger analysis",Albertini2010
"DBG, SBX",injection,Original file is injected in existing process (nothing written to disk and possibly higher privs).,"Look for API calls: VirtualAllocEx, WriteProcessMemory, CreateRemoteThread, CreateRemoteThreadEx",Albertini2010
,embedded file hooking,File handling APIs are modified to make embedded files usable like external ones,,Albertini2010
DBG,exception misdirection,Using exception handling (SEH) to cause flow of program to non-obvious paths.,Pass exceptions to program.  Breakpoint on new exception handlers.,
STC,conditional misdirection,"Conditional jumps are sometimes used to confuse disassembly engines, resulting in the wrong instruction boundaries and thus wrong mnemonic and operands; easy to “see” when jmp/jcc to a label+# (ex: JNE loc_401345fe+2)",Debug; trace until condition (ex: section hop),
DBG,stack canary,"Similar to the anti-exploitation method of the same name, malware may try to detect mucking with values on the stack (Szor p227)",,Szor2005
"STC, DBG, EMU",pipeline misdirection,"Taking advantage of pipelining in modern processors to misdirect debugging, emulation, or static analysis tools. An unpacker can assume a certain number of opcodes will be cached and then procede to overwrite them in memory, causing a debugger/emulator/analyzer to follow different code than is normally executed (Szor pp230-231)",,Szor2005
,,,,
,,,,
DBG,BP clearing,Intentionally clearing software or hardware breakpoints.,,
DBG,TIB-aware,Accessing thread information (fs:[20h]) for debug detection or process obfuscation.,,
"STC, DBG, EMU",non-obvious loop escapes,Using SEH or other methods to break out of a loop instead of a conditional jump.,Breakpoint on exception handler(s),
,modify self,General class of techniques that modify the malware file(s) on disk.,Breakpoint on MapViewOfFile[Ex],Guo2008
"DBG, SBX",prevent self-access,"""Protect"" it's own process, preventing some analysis tools from working.",Breakpoint on VirtualProtect[Ex],Guo2008
"STC, DBG",nanomites,int3 with code replacement table,simply pass int3 to program?,Infosec2013
DBG,self-unmapping,UnmapViewOfFile() on itself,"Has to copy code and data to new/different segments, so dump those instead",Infosec2013
"DBG, STC",stolen bytes (code splicing),First few instructions of original EP are incorporated into unpacking code.  May confuse some automated unpackers.,Replace them manually,Infosec2013
DBG,RtlAdjustPrivilege,Calling RtlAdjustPrivilege to either prevent a debugger from attaching or to detect if a debugger is attached.,Breakpoint on RtlAdjustPrivilege,Insid3Code2015
,,,,
,Entry / start,PUSHA,"1. Look for POPA
2. Breakpoint on stack access",Szor2005
